time,vehicle_id,vehicle_type,edge_id,lane_id,speed,waiting_time,position_x,position_y
5.0,forward_bikes.0,bike,254053176#2,254053176#2_0,4.308,0.0,4133.387,11514.156
5.0,forward_cars.0,car,:2598853062_10,:2598853062_10_0,7.782,0.0,4139.474,11527.312
5.0,reverse_bikes.0,bike,-631197284#3,-631197284#3_0,12.135,0.0,5198.091,11630.35
5.0,reverse_buses.0,bus,-631197284#3,-631197284#3_0,9.951,0.0,5212.647,11624.402
5.0,reverse_cars.0,car,-631197284#3,-631197284#3_0,13.783,0.0,5178.694,11638.277
10.0,forward_bikes.0,bike,254053185#1,254053185#1_0,11.717,0.0,4125.649,11548.673
10.0,forward_buses.0,bus,254053185#1,254053185#1_0,7.199,0.0,4137.077,11531.415
10.0,forward_cars.0,car,:2598853071_4,:2598853071_4_0,6.184,0.0,4116.55,11566.03
10.0,forward_cars.1,car,254053176#2,254053176#2_0,5.514,0.0,4132.399,11513.425
10.0,reverse_bikes.0,bike,-631197284#3,-631197284#3_0,12.985,0.0,5137.535,11655.097
10.0,reverse_buses.0,bus,-631197284#3,-631197284#3_0,12.826,0.0,5157.184,11647.067
10.0,reverse_cars.0,car,-631197284#3,-631197284#3_0,12.969,0.0,5118.188,11663.003
10.0,reverse_cars.1,car,-631197284#3,-631197284#3_0,10.871,0.0,5198.141,11630.33
15.0,forward_bikes.0,bike,:2598853071_4,:2598853071_4_0,5.906,0.0,4118.071,11568.196
15.0,forward_bikes.1,bike,254053176#2,254053176#2_0,6.834,0.0,4128.392,11510.462
15.0,forward_buses.0,bus,254053185#1,254053185#1_0,3.724,0.0,4118.789,11559.032
15.0,forward_cars.0,car,:7479071341_1,:7479071341_1_0,6.513,0.0,4122.369,11587.956
15.0,forward_cars.1,car,254053185#1,254053185#1_0,6.747,0.0,4131.335,11540.087
15.0,forward_cars.2,car,254053176#2,254053176#2_0,4.438,0.0,4136.064,11516.136
15.0,reverse_bikes.0,bike,-631197284#3,-631197284#3_0,12.688,0.0,5076.086,11680.208
15.0,reverse_bikes.1,bike,-631197284#3,-631197284#3_0,11.47,0.0,5220.498,11621.194
15.0,reverse_buses.0,bus,-631197284#3,-631197284#3_0,13.35,0.0,5095.783,11672.159
15.0,reverse_cars.0,car,-631197284#3,-631197284#3_0,13.588,0.0,5056.086,11688.382
15.0,reverse_cars.1,car,-631197284#3,-631197284#3_0,10.759,0.0,5147.697,11650.944
15.0,reverse_cars.2,car,-631197284#3,-631197284#3_0,12.457,0.0,5205.163,11627.46
20.0,forward_bikes.0,bike,:7479071341_1,:7479071341_1_0,7.725,0.0,4121.646,11589.092
20.0,forward_bikes.1,bike,254053185#1,254053185#1_0,6.542,0.0,4136.747,11531.913
20.0,forward_buses.0,bus,:2598853075_2,:2598853075_2_0,5.34,0.0,4128.184,11577.126
20.0,forward_cars.0,car,:cluster_10043935988_10043935989_1070361799_4,:cluster_10043935988_10043935989_1070361799_4_0,8.662,0.0,4141.724,11608.56
